nose,left_shoulder,right_shoulder,left_elbow,right_elbow,left_wrist,right_wrist,left_hip,right_hip,left_knee,right_knee,left_ankle,right_ankle,neck
[0.24903288 0.64487016 0.4375496 ],[0.29779732 0.60616815 0.5973291 ],[0.30863482 0.61498964 0.75873566],[0.3769208  0.6030112  0.30639827],[0.3782044  0.60727084 0.32666713],[0.42311662 0.63159275 0.46721345],[0.43093187 0.63563335 0.6307818 ],[0.4703217  0.59590495 0.6763454 ],[0.4741254 0.6150204 0.6826281],[0.563618  0.5588717 0.5971375],[0.5466107  0.689746   0.65428364],[0.6609328  0.49337348 0.6835662 ],[0.6803764  0.72474426 0.6072806 ],[0.30321607 0.6105789  0.6780324 ]
[0.2529316 0.6581139 0.3826427],[0.2992242  0.6237485  0.57723373],[0.30561262 0.6375889  0.7474083 ],[0.39892575 0.62826705 0.34893754],[0.39998645 0.63338125 0.45339063],[0.43079147 0.6451886  0.36364728],[0.4315171 0.641533  0.5187855],[0.47734588 0.6176943  0.6277244 ],[0.48028728 0.63540363 0.6737708 ],[0.56322837 0.5738273  0.55039495],[0.553883   0.71305704 0.68760234],[0.65415263 0.49445412 0.6256647 ],[0.68296504 0.75388736 0.7291637 ],[0.3024184 0.6306687 0.662321 ]
[0.25992978 0.6849696  0.5744666 ],[0.3018381  0.63712704 0.6339982 ],[0.31528884 0.65461326 0.6810404 ],[0.39094305 0.63538    0.30839306],[0.40074766 0.64357316 0.37820458],[0.43738744 0.6688582  0.33496308],[0.44139823 0.6672413  0.47790372],[0.48642558 0.6251981  0.6518965 ],[0.49190712 0.6509021  0.74161714],[0.57108945 0.58916664 0.57455486],[0.5534673  0.73276323 0.6742856 ],[0.6462786  0.49647832 0.61124945],[0.6790011  0.7592386  0.76497674],[0.30856347 0.64587015 0.65751934]
[0.2681839  0.70079535 0.4940462 ],[0.3153167 0.6574207 0.6495987],[0.32489997 0.67180103 0.71046096],[0.4048354 0.6560025 0.3997222],[0.4167953  0.6588098  0.42960575],[0.4565339  0.67925036 0.32885182],[0.45863503 0.6831316  0.2949701 ],[0.4913935  0.64771867 0.69607127],[0.4959697  0.66077566 0.67732847],[0.5778965  0.6236058  0.58849096],[0.55262375 0.76617277 0.70006555],[0.64371157 0.5057844  0.77282065],[0.6776869  0.7804434  0.75094444],[0.32010835 0.66461086 0.68002987]
[0.2822805  0.71068645 0.64671487],[0.32745987 0.6601651  0.6608216 ],[0.33690435 0.6873951  0.6967374 ],[0.42203373 0.6675153  0.32551304],[0.43515536 0.67616296 0.49458817],[0.4647165  0.685441   0.35719422],[0.47425598 0.6938876  0.4381106 ],[0.5142991 0.6488598 0.6918228],[0.5163141 0.6713532 0.6768649],[0.59392613 0.634138   0.71754307],[0.55111736 0.7846915  0.74503124],[0.6436137  0.51665056 0.6521418 ],[0.6803407  0.78010786 0.7057365 ],[0.3321821 0.6737801 0.6787795]
[0.28670287 0.71188134 0.6401078 ],[0.330094  0.6729628 0.6599755],[0.34139952 0.6862542  0.7495718 ],[0.4383211  0.6737041  0.27503943],[0.44589007 0.673488   0.47169018],[0.48163933 0.69155496 0.29542026],[0.48928794 0.69706863 0.31864798],[0.5200138 0.6583977 0.6994935],[0.52395356 0.6707535  0.6586501 ],[0.600917   0.64138246 0.739285  ],[0.54919386 0.7978205  0.6262853 ],[0.64252174 0.51962763 0.6995446 ],[0.68239486 0.7821069  0.6697154 ],[0.33574677 0.67960846 0.70477366]
[0.32975835 0.7283656  0.50767547],[0.3620652  0.69503236 0.70891905],[0.3668631  0.6857722  0.72378093],[0.46424517 0.69097495 0.4722324 ],[0.47170484 0.68338627 0.49248052],[0.5153311  0.713529   0.39650983],[0.52323294 0.70987463 0.43546736],[0.53980017 0.6635768  0.769536  ],[0.5394296 0.666545  0.7305059],[0.62945867 0.6545249  0.7264116 ],[0.54778713 0.8129767  0.66025114],[0.6337019 0.521855  0.6944977],[0.6799774  0.7905516  0.62260807],[0.36446416 0.69040227 0.71634996]
[0.33652565 0.72968006 0.4484748 ],[0.37276447 0.69698155 0.6906983 ],[0.37212116 0.6877805  0.63531   ],[0.45791227 0.6873819  0.36968324],[0.46381912 0.6793934  0.5844443 ],[0.5113468  0.7131614  0.37938872],[0.51971376 0.7093922  0.52728534],[0.54151237 0.66222674 0.64650893],[0.5429299  0.66611564 0.7074499 ],[0.63399166 0.6571907  0.5484867 ],[0.546808  0.8106445 0.6156458],[0.63917184 0.5285833  0.79382473],[0.67972493 0.7886864  0.58326524],[0.3724428  0.692381   0.66300416]
[0.3446098 0.7290323 0.5360706],[0.37951875 0.6989031  0.7249392 ],[0.38173696 0.6907152  0.70242405],[0.45656753 0.6940245  0.40741026],[0.4601775  0.68104815 0.46960202],[0.51747704 0.7184428  0.45259142],[0.5245222  0.71287084 0.44302803],[0.55120647 0.6588502  0.62892586],[0.55230606 0.66415316 0.7492174 ],[0.63599575 0.65483963 0.5050719 ],[0.5496802 0.8124678 0.6995509],[0.6342132 0.5320411 0.74016  ],[0.67363536 0.79209244 0.6444372 ],[0.38062787 0.69480914 0.71368164]
[0.35777652 0.7378707  0.57554036],[0.39019674 0.70113695 0.66252846],[0.39744636 0.6917771  0.68415344],[0.45669085 0.69435215 0.3313756 ],[0.46127737 0.6793512  0.36306268],[0.51987827 0.7188792  0.39986816],[0.52647537 0.71094483 0.46433622],[0.55447936 0.67404604 0.7200364 ],[0.5551785 0.6736063 0.7357558],[0.6408103  0.6625114  0.62938064],[0.55142707 0.8154161  0.52024865],[0.6402918  0.53767204 0.81719357],[0.6715767 0.7901994 0.611608 ],[0.39382154 0.696457   0.6733409 ]
