Nose-Neck-Right Shoulder,Nose-Neck-Left Shoulder,Neck-Right Shoulder-Right Elbow,Neck-Left Shoulder-Left Elbow,Right Shoulder-Right Elbow-Right Wrist,Left Shoulder-Left Elbow-Left Wrist,Neck-Right Hip-Right Knee,Neck-Left Hip-Left Knee,Right Hip-Right Knee-Right Ankle,Left Hip-Left Knee-Left Ankle
171.90688,113.841934,80.16624,120.62451,63.032726,8.120618,173.13931,176.68434,175.00949,176.59204
173.19418,110.27895,76.03972,125.642075,65.76307,4.373048,163.68349,169.65346,167.29744,152.18655
177.2135,103.81632,83.0642,132.34044,49.74452,0.5000685,157.28954,147.77554,168.18312,124.11049
173.35464,106.58339,88.87947,125.85429,49.970737,2.8209858,147.95465,127.37989,161.2171,104.13349
176.76305,103.81092,86.14282,127.40209,51.561077,2.3074927,149.97404,127.232254,162.97435,104.26625
176.96036,104.23586,83.81894,131.55966,49.978134,0.1467098,157.51517,147.6258,167.71194,123.74398
172.81586,111.16356,76.46534,125.61429,65.42556,4.429874,162.96603,169.0992,167.59686,151.47746
171.90688,113.841934,80.16624,120.62451,63.032726,8.120618,173.13931,176.68434,175.00949,176.59204
173.19418,110.27895,76.03972,125.642075,65.76307,4.373048,163.68349,169.65346,167.29744,152.18655
177.2135,103.81632,83.0642,132.34044,49.74452,0.5000685,157.28954,147.77554,168.18312,124.11049
173.35464,106.58339,88.87947,125.85429,49.970737,2.8209858,147.95465,127.37989,161.2171,104.13349
